"Step","gpt1709446151.2975984 - train_loss","gpt1709446151.2975984 - train_loss__MIN","gpt1709446151.2975984 - train_loss__MAX","gpt1709417396.5932615 - train_loss","gpt1709417396.5932615 - train_loss__MIN","gpt1709417396.5932615 - train_loss__MAX","gpt1709413573.4745002 - train_loss","gpt1709413573.4745002 - train_loss__MIN","gpt1709413573.4745002 - train_loss__MAX"
"0","1.2920317649841309","1.2920317649841309","1.2920317649841309","1.4695402383804321","1.4695402383804321","1.4695402383804321","3.1711435317993164","3.1711435317993164","3.1711435317993164"
"1","1.3139894008636475","1.3139894008636475","1.3139894008636475","1.4677910804748535","1.4677910804748535","1.4677910804748535","2.3368287086486816","2.3368287086486816","2.3368287086486816"
"2","1.3005938529968262","1.3005938529968262","1.3005938529968262","1.4505778551101685","1.4505778551101685","1.4505778551101685","2.260842800140381","2.260842800140381","2.260842800140381"
"3","1.283216118812561","1.283216118812561","1.283216118812561","1.443450927734375","1.443450927734375","1.443450927734375","2.1579086780548096","2.1579086780548096","2.1579086780548096"
"4","1.3014206886291504","1.3014206886291504","1.3014206886291504","1.4616143703460693","1.4616143703460693","1.4616143703460693","2.1093811988830566","2.1093811988830566","2.1093811988830566"
"5","1.280501127243042","1.280501127243042","1.280501127243042","1.4525202512741089","1.4525202512741089","1.4525202512741089","2.0712318420410156","2.0712318420410156","2.0712318420410156"
"6","1.2809672355651855","1.2809672355651855","1.2809672355651855","1.4578441381454468","1.4578441381454468","1.4578441381454468","2.030409336090088","2.030409336090088","2.030409336090088"
"7","1.2792495489120483","1.2792495489120483","1.2792495489120483","1.4548035860061646","1.4548035860061646","1.4548035860061646","2.019953966140747","2.019953966140747","2.019953966140747"
"8","1.2981585264205933","1.2981585264205933","1.2981585264205933","1.4497445821762085","1.4497445821762085","1.4497445821762085","2.0179367065429688","2.0179367065429688","2.0179367065429688"
"9","1.2987972497940063","1.2987972497940063","1.2987972497940063","1.4479869604110718","1.4479869604110718","1.4479869604110718","1.9980149269104004","1.9980149269104004","1.9980149269104004"
"10","1.2853244543075562","1.2853244543075562","1.2853244543075562","1.439038872718811","1.439038872718811","1.439038872718811","1.9771215915679932","1.9771215915679932","1.9771215915679932"
"11","1.2727980613708496","1.2727980613708496","1.2727980613708496","1.4243191480636597","1.4243191480636597","1.4243191480636597","1.9714171886444092","1.9714171886444092","1.9714171886444092"
"12","1.287774682044983","1.287774682044983","1.287774682044983","1.4295952320098877","1.4295952320098877","1.4295952320098877","1.960882306098938","1.960882306098938","1.960882306098938"
"13","1.2936372756958008","1.2936372756958008","1.2936372756958008","1.4311491250991821","1.4311491250991821","1.4311491250991821","1.9476193189620972","1.9476193189620972","1.9476193189620972"
"14","1.2794476747512817","1.2794476747512817","1.2794476747512817","1.4312068223953247","1.4312068223953247","1.4312068223953247","1.925997257232666","1.925997257232666","1.925997257232666"
"15","1.2679353952407837","1.2679353952407837","1.2679353952407837","1.4299715757369995","1.4299715757369995","1.4299715757369995","1.9315930604934692","1.9315930604934692","1.9315930604934692"
"16","1.2732229232788086","1.2732229232788086","1.2732229232788086","1.4210091829299927","1.4210091829299927","1.4210091829299927","1.898911952972412","1.898911952972412","1.898911952972412"
"17","1.271945595741272","1.271945595741272","1.271945595741272","1.4178833961486816","1.4178833961486816","1.4178833961486816","1.8833661079406738","1.8833661079406738","1.8833661079406738"
"18","1.2676148414611816","1.2676148414611816","1.2676148414611816","1.4186792373657227","1.4186792373657227","1.4186792373657227","1.8869363069534302","1.8869363069534302","1.8869363069534302"
"19","1.2843273878097534","1.2843273878097534","1.2843273878097534","1.4311062097549438","1.4311062097549438","1.4311062097549438","1.8738707304000854","1.8738707304000854","1.8738707304000854"
"20","1.2642979621887207","1.2642979621887207","1.2642979621887207","1.3972896337509155","1.3972896337509155","1.3972896337509155","1.8614137172698975","1.8614137172698975","1.8614137172698975"
"21","1.2891921997070312","1.2891921997070312","1.2891921997070312","1.4178061485290527","1.4178061485290527","1.4178061485290527","1.8525463342666626","1.8525463342666626","1.8525463342666626"
"22","1.2808936834335327","1.2808936834335327","1.2808936834335327","1.4064675569534302","1.4064675569534302","1.4064675569534302","1.858132004737854","1.858132004737854","1.858132004737854"
"23","1.2724465131759644","1.2724465131759644","1.2724465131759644","1.4222207069396973","1.4222207069396973","1.4222207069396973","1.8313915729522705","1.8313915729522705","1.8313915729522705"
"24","1.253227949142456","1.253227949142456","1.253227949142456","1.3941504955291748","1.3941504955291748","1.3941504955291748","1.8404967784881592","1.8404967784881592","1.8404967784881592"
"25","1.2740790843963623","1.2740790843963623","1.2740790843963623","1.4061616659164429","1.4061616659164429","1.4061616659164429","1.8321681022644043","1.8321681022644043","1.8321681022644043"
"26","1.273636817932129","1.273636817932129","1.273636817932129","1.4116519689559937","1.4116519689559937","1.4116519689559937","1.8034722805023193","1.8034722805023193","1.8034722805023193"
"27","1.2570430040359497","1.2570430040359497","1.2570430040359497","1.4132201671600342","1.4132201671600342","1.4132201671600342","1.7950031757354736","1.7950031757354736","1.7950031757354736"
"28","1.2807612419128418","1.2807612419128418","1.2807612419128418","1.4002058506011963","1.4002058506011963","1.4002058506011963","1.7891427278518677","1.7891427278518677","1.7891427278518677"
"29","1.2572840452194214","1.2572840452194214","1.2572840452194214","1.4082798957824707","1.4082798957824707","1.4082798957824707","1.7638750076293945","1.7638750076293945","1.7638750076293945"
"30","1.2693111896514893","1.2693111896514893","1.2693111896514893","1.3959908485412598","1.3959908485412598","1.3959908485412598","1.7707196474075317","1.7707196474075317","1.7707196474075317"
"31","1.2652760744094849","1.2652760744094849","1.2652760744094849","1.4004818201065063","1.4004818201065063","1.4004818201065063","1.763066291809082","1.763066291809082","1.763066291809082"
"32","1.2706173658370972","1.2706173658370972","1.2706173658370972","1.3964507579803467","1.3964507579803467","1.3964507579803467","1.7682876586914062","1.7682876586914062","1.7682876586914062"
"33","1.2582542896270752","1.2582542896270752","1.2582542896270752","1.380910038948059","1.380910038948059","1.380910038948059","1.7415460348129272","1.7415460348129272","1.7415460348129272"
"34","1.2660503387451172","1.2660503387451172","1.2660503387451172","1.378198266029358","1.378198266029358","1.378198266029358","1.749006986618042","1.749006986618042","1.749006986618042"
"35","1.276177167892456","1.276177167892456","1.276177167892456","1.3950130939483643","1.3950130939483643","1.3950130939483643","1.7407416105270386","1.7407416105270386","1.7407416105270386"
"36","1.2784972190856934","1.2784972190856934","1.2784972190856934","1.4034826755523682","1.4034826755523682","1.4034826755523682","1.7361804246902466","1.7361804246902466","1.7361804246902466"
"37","1.2505602836608887","1.2505602836608887","1.2505602836608887","1.387570858001709","1.387570858001709","1.387570858001709","1.72517991065979","1.72517991065979","1.72517991065979"
"38","1.2664906978607178","1.2664906978607178","1.2664906978607178","1.3880535364151","1.3880535364151","1.3880535364151","1.719598412513733","1.719598412513733","1.719598412513733"
"39","1.2420949935913086","1.2420949935913086","1.2420949935913086","1.3754409551620483","1.3754409551620483","1.3754409551620483","1.7245569229125977","1.7245569229125977","1.7245569229125977"
"40","1.2685354948043823","1.2685354948043823","1.2685354948043823","1.3902792930603027","1.3902792930603027","1.3902792930603027","1.69881272315979","1.69881272315979","1.69881272315979"
"41","1.257452130317688","1.257452130317688","1.257452130317688","1.362725019454956","1.362725019454956","1.362725019454956","1.705052375793457","1.705052375793457","1.705052375793457"
"42","1.254624605178833","1.254624605178833","1.254624605178833","1.372874140739441","1.372874140739441","1.372874140739441","1.6837432384490967","1.6837432384490967","1.6837432384490967"
"43","1.2548394203186035","1.2548394203186035","1.2548394203186035","1.3861379623413086","1.3861379623413086","1.3861379623413086","1.685150146484375","1.685150146484375","1.685150146484375"
"44","1.257799506187439","1.257799506187439","1.257799506187439","1.374376654624939","1.374376654624939","1.374376654624939","1.6741142272949219","1.6741142272949219","1.6741142272949219"
"45","1.2536274194717407","1.2536274194717407","1.2536274194717407","1.3670578002929688","1.3670578002929688","1.3670578002929688","1.6792608499526978","1.6792608499526978","1.6792608499526978"
"46","1.2528901100158691","1.2528901100158691","1.2528901100158691","1.3838311433792114","1.3838311433792114","1.3838311433792114","1.6630675792694092","1.6630675792694092","1.6630675792694092"
"47","1.256638526916504","1.256638526916504","1.256638526916504","1.3760126829147339","1.3760126829147339","1.3760126829147339","1.6751521825790405","1.6751521825790405","1.6751521825790405"
"48","1.2446502447128296","1.2446502447128296","1.2446502447128296","1.3597135543823242","1.3597135543823242","1.3597135543823242","1.6616489887237549","1.6616489887237549","1.6616489887237549"
"49","1.2368650436401367","1.2368650436401367","1.2368650436401367","1.372511863708496","1.372511863708496","1.372511863708496","1.651251196861267","1.651251196861267","1.651251196861267"
"50","1.2418445348739624","1.2418445348739624","1.2418445348739624","1.3658467531204224","1.3658467531204224","1.3658467531204224","1.646867036819458","1.646867036819458","1.646867036819458"
"51","1.2565028667449951","1.2565028667449951","1.2565028667449951","1.3545660972595215","1.3545660972595215","1.3545660972595215","1.6410211324691772","1.6410211324691772","1.6410211324691772"
"52","1.240321397781372","1.240321397781372","1.240321397781372","1.357603907585144","1.357603907585144","1.357603907585144","1.6388657093048096","1.6388657093048096","1.6388657093048096"
"53","1.2209831476211548","1.2209831476211548","1.2209831476211548","1.355486273765564","1.355486273765564","1.355486273765564","1.6268553733825684","1.6268553733825684","1.6268553733825684"
"54","1.244083285331726","1.244083285331726","1.244083285331726","1.3607977628707886","1.3607977628707886","1.3607977628707886","1.616611123085022","1.616611123085022","1.616611123085022"
"55","1.2504905462265015","1.2504905462265015","1.2504905462265015","1.3660826683044434","1.3660826683044434","1.3660826683044434","1.6221356391906738","1.6221356391906738","1.6221356391906738"
"56","1.2518093585968018","1.2518093585968018","1.2518093585968018","1.3673254251480103","1.3673254251480103","1.3673254251480103","1.62993586063385","1.62993586063385","1.62993586063385"
"57","1.226225733757019","1.226225733757019","1.226225733757019","1.3683847188949585","1.3683847188949585","1.3683847188949585","1.6257966756820679","1.6257966756820679","1.6257966756820679"
"58","1.2237272262573242","1.2237272262573242","1.2237272262573242","1.3647103309631348","1.3647103309631348","1.3647103309631348","1.608188271522522","1.608188271522522","1.608188271522522"
