"Step","gpt1709446151.2975984 - val_loss","gpt1709446151.2975984 - val_loss__MIN","gpt1709446151.2975984 - val_loss__MAX","gpt1709417396.5932615 - val_loss","gpt1709417396.5932615 - val_loss__MIN","gpt1709417396.5932615 - val_loss__MAX","gpt1709413573.4745002 - val_loss","gpt1709413573.4745002 - val_loss__MIN","gpt1709413573.4745002 - val_loss__MAX"
"0","1.4287211894989014","1.4287211894989014","1.4287211894989014","1.5373482704162598","1.5373482704162598","1.5373482704162598","3.174633502960205","3.174633502960205","3.174633502960205"
"1","1.444984793663025","1.444984793663025","1.444984793663025","1.5098631381988525","1.5098631381988525","1.5098631381988525","2.343646287918091","2.343646287918091","2.343646287918091"
"2","1.412735104560852","1.412735104560852","1.412735104560852","1.5315916538238525","1.5315916538238525","1.5315916538238525","2.264296054840088","2.264296054840088","2.264296054840088"
"3","1.4341648817062378","1.4341648817062378","1.4341648817062378","1.5196325778961182","1.5196325778961182","1.5196325778961182","2.1572835445404053","2.1572835445404053","2.1572835445404053"
"4","1.4238805770874023","1.4238805770874023","1.4238805770874023","1.5211595296859741","1.5211595296859741","1.5211595296859741","2.109746217727661","2.109746217727661","2.109746217727661"
"5","1.4172402620315552","1.4172402620315552","1.4172402620315552","1.5373945236206055","1.5373945236206055","1.5373945236206055","2.066469430923462","2.066469430923462","2.066469430923462"
"6","1.4440613985061646","1.4440613985061646","1.4440613985061646","1.522964358329773","1.522964358329773","1.522964358329773","2.0468196868896484","2.0468196868896484","2.0468196868896484"
"7","1.4073010683059692","1.4073010683059692","1.4073010683059692","1.5065289735794067","1.5065289735794067","1.5065289735794067","2.0181667804718018","2.0181667804718018","2.0181667804718018"
"8","1.437896728515625","1.437896728515625","1.437896728515625","1.5341116189956665","1.5341116189956665","1.5341116189956665","2.013627767562866","2.013627767562866","2.013627767562866"
"9","1.4317210912704468","1.4317210912704468","1.4317210912704468","1.5155361890792847","1.5155361890792847","1.5155361890792847","2.000584602355957","2.000584602355957","2.000584602355957"
"10","1.4375410079956055","1.4375410079956055","1.4375410079956055","1.5140626430511475","1.5140626430511475","1.5140626430511475","1.9754421710968018","1.9754421710968018","1.9754421710968018"
"11","1.4319425821304321","1.4319425821304321","1.4319425821304321","1.5073400735855103","1.5073400735855103","1.5073400735855103","1.9748300313949585","1.9748300313949585","1.9748300313949585"
"12","1.4260773658752441","1.4260773658752441","1.4260773658752441","1.5185388326644897","1.5185388326644897","1.5185388326644897","1.9571478366851807","1.9571478366851807","1.9571478366851807"
"13","1.418329119682312","1.418329119682312","1.418329119682312","1.5119154453277588","1.5119154453277588","1.5119154453277588","1.947417140007019","1.947417140007019","1.947417140007019"
"14","1.4248334169387817","1.4248334169387817","1.4248334169387817","1.504073143005371","1.504073143005371","1.504073143005371","1.9323012828826904","1.9323012828826904","1.9323012828826904"
